ID,Review,Sentiment,Length,PunctuationCount,UppercaseCount,SentimentScore,Source,ProductID
868,"Average experience, not too bad but not great.",Neutral,8,2,1,0,Website B,1360
598,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website C,1975
931,It's alright but could be better.,Neutral,6,1,1,0,Website C,1951
124,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website B,1113
26,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website B,1265
184,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website C,1923
23,Great quality and excellent customer service.,Positive,6,1,1,1,Website A,1198
547,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website C,1188
568,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website A,1733
704,It's alright but could be better.,Neutral,6,1,1,0,Website B,1723
635,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website A,1580
200,Great quality and excellent customer service.,Positive,6,1,1,1,Website B,1766
30,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website B,1842
90,Great quality and excellent customer service.,Positive,6,1,1,1,Website B,1265
272,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website A,1529
196,Great quality and excellent customer service.,Positive,6,1,1,1,Website B,1623
225,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website B,1626
949,"Average experience, not too bad but not great.",Neutral,8,2,1,0,Website B,1271
738,"Average experience, not too bad but not great.",Neutral,8,2,1,0,Website A,1863
981,"It works as expected, no complaints.",Neutral,6,2,1,0,Website A,1506
81,Exceeded my expectations in every way.,Positive,6,1,1,1,Website A,1634
194,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website B,1839
96,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website C,1068
670,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website C,1796
401,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website C,1850
73,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website A,1147
824,"It works as expected, no complaints.",Neutral,6,2,1,0,Website C,1831
39,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website A,1165
514,One star. Would not buy again.,Negative,6,2,2,-1,Website A,1290
915,"It works as expected, no complaints.",Neutral,6,2,1,0,Website B,1567
58,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website C,1488
385,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website C,1261
740,Neutral feelings about this purchase.,Neutral,5,1,1,0,Website C,1802
381,Great quality and excellent customer service.,Positive,6,1,1,1,Website C,1600
222,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website C,1329
382,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website B,1043
970,It's alright but could be better.,Neutral,6,1,1,0,Website B,1870
477,One star. Would not buy again.,Negative,6,2,2,-1,Website B,1751
19,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website C,1879
47,Exceeded my expectations in every way.,Positive,6,1,1,1,Website A,1942
340,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website B,1668
427,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website B,1056
462,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website C,1598
165,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website C,1061
572,One star. Would not buy again.,Negative,6,2,2,-1,Website B,1504
428,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website C,1517
499,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website B,1436
138,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website B,1861
585,One star. Would not buy again.,Negative,6,2,2,-1,Website C,1213
223,Exceeded my expectations in every way.,Positive,6,1,1,1,Website A,1871
639,One star. Would not buy again.,Negative,6,2,2,-1,Website C,1347
995,"Average experience, not too bad but not great.",Neutral,8,2,1,0,Website B,1754
611,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website A,1136
994,"Average experience, not too bad but not great.",Neutral,8,2,1,0,Website B,1260
306,Exceeded my expectations in every way.,Positive,6,1,1,1,Website A,1168
472,One star. Would not buy again.,Negative,6,2,2,-1,Website C,1544
967,"It works as expected, no complaints.",Neutral,6,2,1,0,Website A,1138
821,"It works as expected, no complaints.",Neutral,6,2,1,0,Website C,1300
28,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website B,1488
230,Exceeded my expectations in every way.,Positive,6,1,1,1,Website A,1398
252,Exceeded my expectations in every way.,Positive,6,1,1,1,Website C,1079
630,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website A,1783
825,Neutral feelings about this purchase.,Neutral,5,1,1,0,Website B,1718
52,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website C,1626
962,It's alright but could be better.,Neutral,6,1,1,0,Website A,1627
348,Exceeded my expectations in every way.,Positive,6,1,1,1,Website A,1250
261,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website A,1186
459,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website C,1642
167,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website C,1949
224,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website C,1962
916,It's alright but could be better.,Neutral,6,1,1,0,Website A,1428
950,"The product is okay, nothing special.",Neutral,6,2,1,0,Website A,1943
662,One star. Would not buy again.,Negative,6,2,2,-1,Website B,1921
37,Exceeded my expectations in every way.,Positive,6,1,1,1,Website C,1276
67,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website B,1287
810,It's alright but could be better.,Neutral,6,1,1,0,Website B,1315
751,"The product is okay, nothing special.",Neutral,6,2,1,0,Website A,1370
269,Exceeded my expectations in every way.,Positive,6,1,1,1,Website C,1484
389,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website B,1912
653,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website A,1067
377,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website C,1527
730,It's alright but could be better.,Neutral,6,1,1,0,Website A,1529
631,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website A,1736
201,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website C,1866
141,Great quality and excellent customer service.,Positive,6,1,1,1,Website A,1939
990,"The product is okay, nothing special.",Neutral,6,2,1,0,Website C,1371
221,Great quality and excellent customer service.,Positive,6,1,1,1,Website A,1650
976,Neutral feelings about this purchase.,Neutral,5,1,1,0,Website A,1150
402,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website B,1148
34,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website B,1296
213,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website B,1220
319,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website A,1713
264,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website B,1748
142,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website B,1589
159,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website A,1274
406,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website B,1700
508,One star. Would not buy again.,Negative,6,2,2,-1,Website B,1700
707,"The product is okay, nothing special.",Neutral,6,2,1,0,Website A,1297
296,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website C,1053
626,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website B,1515
146,Exceeded my expectations in every way.,Positive,6,1,1,1,Website C,1290
363,Exceeded my expectations in every way.,Positive,6,1,1,1,Website C,1281
556,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website B,1011
121,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website A,1658
169,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website A,1505
706,"Average experience, not too bad but not great.",Neutral,8,2,1,0,Website A,1146
178,Exceeded my expectations in every way.,Positive,6,1,1,1,Website A,1878
371,Great quality and excellent customer service.,Positive,6,1,1,1,Website B,1630
315,Great quality and excellent customer service.,Positive,6,1,1,1,Website C,1312
668,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website B,1863
743,Neutral feelings about this purchase.,Neutral,5,1,1,0,Website A,1184
861,"It works as expected, no complaints.",Neutral,6,2,1,0,Website C,1373
766,It's alright but could be better.,Neutral,6,1,1,0,Website B,1297
986,It's alright but could be better.,Neutral,6,1,1,0,Website C,1303
540,One star. Would not buy again.,Negative,6,2,2,-1,Website B,1689
829,"It works as expected, no complaints.",Neutral,6,2,1,0,Website A,1420
965,"It works as expected, no complaints.",Neutral,6,2,1,0,Website C,1311
528,One star. Would not buy again.,Negative,6,2,2,-1,Website B,1521
211,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website A,1484
787,It's alright but could be better.,Neutral,6,1,1,0,Website C,1696
286,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website A,1741
966,"The product is okay, nothing special.",Neutral,6,2,1,0,Website A,1388
238,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website A,1826
439,One star. Would not buy again.,Negative,6,2,2,-1,Website C,1578
185,Exceeded my expectations in every way.,Positive,6,1,1,1,Website A,1137
48,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website A,1933
192,Exceeded my expectations in every way.,Positive,6,1,1,1,Website B,1701
413,One star. Would not buy again.,Negative,6,2,2,-1,Website C,1246
291,Great quality and excellent customer service.,Positive,6,1,1,1,Website B,1635
646,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website C,1646
984,It's alright but could be better.,Neutral,6,1,1,0,Website C,1337
978,"Average experience, not too bad but not great.",Neutral,8,2,1,0,Website A,1078
53,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website A,1397
322,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website B,1170
71,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website A,1086
762,Neutral feelings about this purchase.,Neutral,5,1,1,0,Website B,1545
553,One star. Would not buy again.,Negative,6,2,2,-1,Website B,1773
521,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website C,1683
834,"Average experience, not too bad but not great.",Neutral,8,2,1,0,Website B,1788
33,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website A,1143
279,Great quality and excellent customer service.,Positive,6,1,1,1,Website C,1476
902,It's alright but could be better.,Neutral,6,1,1,0,Website C,1159
38,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website C,1744
928,"It works as expected, no complaints.",Neutral,6,2,1,0,Website B,1896
509,One star. Would not buy again.,Negative,6,2,2,-1,Website A,1293
807,It's alright but could be better.,Neutral,6,1,1,0,Website C,1052
492,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website A,1911
173,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website B,1857
663,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website A,1647
209,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website C,1027
698,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website A,1157
294,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website B,1390
554,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website B,1698
186,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website C,1123
312,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website B,1642
120,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website B,1262
408,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website C,1908
440,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website B,1143
644,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website C,1578
523,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website B,1518
429,One star. Would not buy again.,Negative,6,2,2,-1,Website A,1219
648,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website C,1519
320,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website C,1769
106,Exceeded my expectations in every way.,Positive,6,1,1,1,Website C,1139
904,Neutral feelings about this purchase.,Neutral,5,1,1,0,Website B,1116
8,Great quality and excellent customer service.,Positive,6,1,1,1,Website C,1833
700,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website C,1942
241,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website B,1751
999,"Average experience, not too bad but not great.",Neutral,8,2,1,0,Website C,1634
80,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website B,1048
29,Exceeded my expectations in every way.,Positive,6,1,1,1,Website C,1734
162,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website A,1043
542,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website A,1346
259,Exceeded my expectations in every way.,Positive,6,1,1,1,Website B,1504
526,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website B,1769
474,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website A,1256
622,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website C,1048
843,"The product is okay, nothing special.",Neutral,6,2,1,0,Website C,1352
813,It's alright but could be better.,Neutral,6,1,1,0,Website A,1390
458,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website A,1374
473,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website A,1281
164,Great quality and excellent customer service.,Positive,6,1,1,1,Website C,1107
914,It's alright but could be better.,Neutral,6,1,1,0,Website A,1760
800,"The product is okay, nothing special.",Neutral,6,2,1,0,Website B,1710
512,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website B,1377
170,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website A,1152
560,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website B,1879
105,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website B,1052
68,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website A,1284
386,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website C,1472
539,One star. Would not buy again.,Negative,6,2,2,-1,Website C,1687
450,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website B,1513
723,"It works as expected, no complaints.",Neutral,6,2,1,0,Website A,1885
157,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website C,1688
396,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website B,1783
116,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website A,1390
368,Great quality and excellent customer service.,Positive,6,1,1,1,Website B,1850
1,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website C,1867
601,One star. Would not buy again.,Negative,6,2,2,-1,Website A,1899
643,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website B,1366
424,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website A,1660
801,"It works as expected, no complaints.",Neutral,6,2,1,0,Website A,1336
271,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website B,1857
603,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website C,1245
451,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website B,1247
600,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website B,1855
374,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website A,1878
504,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website A,1848
147,Great quality and excellent customer service.,Positive,6,1,1,1,Website A,1927
501,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website B,1409
61,Exceeded my expectations in every way.,Positive,6,1,1,1,Website C,1416
527,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website B,1495
664,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website B,1442
583,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website B,1519
193,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website A,1258
345,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website A,1813
122,Exceeded my expectations in every way.,Positive,6,1,1,1,Website C,1215
232,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website C,1126
11,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website B,1670
531,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website A,1582
321,Exceeded my expectations in every way.,Positive,6,1,1,1,Website A,1822
507,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website A,1679
887,"The product is okay, nothing special.",Neutral,6,2,1,0,Website C,1957
597,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website B,1576
334,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website A,1888
379,Great quality and excellent customer service.,Positive,6,1,1,1,Website B,1037
85,Exceeded my expectations in every way.,Positive,6,1,1,1,Website B,1103
557,One star. Would not buy again.,Negative,6,2,2,-1,Website A,1276
307,Exceeded my expectations in every way.,Positive,6,1,1,1,Website A,1477
665,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website C,1303
467,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website B,1975
621,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website B,1030
400,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website A,1351
438,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website C,1869
545,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website C,1532
890,"It works as expected, no complaints.",Neutral,6,2,1,0,Website B,1653
804,It's alright but could be better.,Neutral,6,1,1,0,Website A,1685
796,"Average experience, not too bad but not great.",Neutral,8,2,1,0,Website B,1906
365,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website A,1971
483,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website B,1101
797,"It works as expected, no complaints.",Neutral,6,2,1,0,Website C,1725
180,Exceeded my expectations in every way.,Positive,6,1,1,1,Website A,1652
830,"It works as expected, no complaints.",Neutral,6,2,1,0,Website A,1727
969,"The product is okay, nothing special.",Neutral,6,2,1,0,Website C,1123
636,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website C,1842
696,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website A,1172
885,"It works as expected, no complaints.",Neutral,6,2,1,0,Website C,1299
357,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website B,1777
436,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website B,1074
475,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website A,1827
355,Exceeded my expectations in every way.,Positive,6,1,1,1,Website A,1268
570,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website B,1438
667,One star. Would not buy again.,Negative,6,2,2,-1,Website C,1617
911,"It works as expected, no complaints.",Neutral,6,2,1,0,Website A,1906
837,"Average experience, not too bad but not great.",Neutral,8,2,1,0,Website A,1005
415,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website C,1183
845,"It works as expected, no complaints.",Neutral,6,2,1,0,Website A,1269
349,Exceeded my expectations in every way.,Positive,6,1,1,1,Website C,1256
767,"It works as expected, no complaints.",Neutral,6,2,1,0,Website C,1073
56,Exceeded my expectations in every way.,Positive,6,1,1,1,Website C,1839
46,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website B,1834
654,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website B,1871
262,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website C,1705
6,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website C,1735
688,One star. Would not buy again.,Negative,6,2,2,-1,Website C,1263
24,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website A,1866
79,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website A,1668
776,"Average experience, not too bad but not great.",Neutral,8,2,1,0,Website B,1475
104,Exceeded my expectations in every way.,Positive,6,1,1,1,Website A,1881
582,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website A,1293
656,One star. Would not buy again.,Negative,6,2,2,-1,Website A,1601
287,Exceeded my expectations in every way.,Positive,6,1,1,1,Website A,1824
624,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website C,1992
481,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website B,1881
604,One star. Would not buy again.,Negative,6,2,2,-1,Website B,1690
356,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website C,1687
247,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website B,1844
985,Neutral feelings about this purchase.,Neutral,5,1,1,0,Website B,1638
924,It's alright but could be better.,Neutral,6,1,1,0,Website A,1584
671,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website C,1831
614,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website A,1148
292,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website A,1375
632,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website B,1998
129,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website C,1966
806,It's alright but could be better.,Neutral,6,1,1,0,Website C,1291
511,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website C,1701
407,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website B,1313
110,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website A,1140
130,Exceeded my expectations in every way.,Positive,6,1,1,1,Website B,1973
140,Great quality and excellent customer service.,Positive,6,1,1,1,Website B,1246
816,"The product is okay, nothing special.",Neutral,6,2,1,0,Website B,1689
341,Great quality and excellent customer service.,Positive,6,1,1,1,Website C,1436
364,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website A,1517
425,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website C,1950
771,"Average experience, not too bad but not great.",Neutral,8,2,1,0,Website A,1847
304,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website A,1411
534,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website C,1203
655,One star. Would not buy again.,Negative,6,2,2,-1,Website A,1637
854,"It works as expected, no complaints.",Neutral,6,2,1,0,Website A,1547
66,Exceeded my expectations in every way.,Positive,6,1,1,1,Website C,1653
734,"It works as expected, no complaints.",Neutral,6,2,1,0,Website C,1501
430,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website A,1263
859,Neutral feelings about this purchase.,Neutral,5,1,1,0,Website B,1816
126,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website C,1200
870,It's alright but could be better.,Neutral,6,1,1,0,Website B,1299
419,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website A,1368
768,It's alright but could be better.,Neutral,6,1,1,0,Website B,1745
849,"The product is okay, nothing special.",Neutral,6,2,1,0,Website B,1120
212,Great quality and excellent customer service.,Positive,6,1,1,1,Website C,1792
780,"Average experience, not too bad but not great.",Neutral,8,2,1,0,Website C,1112
858,It's alright but could be better.,Neutral,6,1,1,0,Website C,1099
657,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website B,1680
435,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website A,1025
44,Great quality and excellent customer service.,Positive,6,1,1,1,Website B,1128
566,One star. Would not buy again.,Negative,6,2,2,-1,Website B,1109
72,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website C,1042
850,"It works as expected, no complaints.",Neutral,6,2,1,0,Website A,1245
333,Exceeded my expectations in every way.,Positive,6,1,1,1,Website A,1705
5,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website C,1575
552,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website A,1341
989,"It works as expected, no complaints.",Neutral,6,2,1,0,Website B,1722
882,"The product is okay, nothing special.",Neutral,6,2,1,0,Website B,1083
645,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website A,1654
493,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website C,1230
